Minute,TVC,Label,MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9
237,2.65592,1,12.92,10.1,12.19,14.95,7.89,19.34,6.58,9.16,12.45,39.3,10.82
238,2.65592,1,14.34,11.54,13.52,16.61,9.17,21.33,7.65,10.14,13.54,42.38,12.18
239,2.65592,1,14.4,11.95,13.2,16.9,9.38,21.53,7.83,9.79,13.43,42.66,12.27
240,2.65592,1,14.34,11.9,13.09,16.83,9.31,21.43,7.8,9.79,13.37,42.66,12.47
241,2.88881,1,14.52,12.05,13.25,16.97,9.46,21.63,7.92,9.64,13.49,42.11,12.13
242,2.88881,1,13.29,10.79,12.14,15.59,8.34,19.77,7.01,8.88,12.61,40.04,11.43
243,2.88881,1,14.34,11.86,13.2,16.76,9.27,21.33,7.8,9.72,13.43,41.84,12.57
244,2.88881,1,14.4,11.86,13.25,16.83,9.31,21.43,7.83,9.87,13.49,42.94,12.67
245,2.88881,1,14.4,11.9,13.2,16.76,9.27,21.43,7.83,9.79,13.43,42.38,12.37
246,2.88881,1,14.4,11.86,13.2,16.76,9.24,22.03,7.83,9.68,13.43,42.66,12.42
247,2.88881,1,14.4,11.9,13.3,16.83,9.24,22.13,7.8,9.75,13.43,43.78,12.03
248,2.88881,1,14.4,11.86,13.2,16.68,9.2,22.23,7.77,9.75,13.43,42.94,11.85
249,2.88881,1,14.4,11.9,13.2,16.68,9.2,22.13,7.77,9.72,13.43,42.94,11.89
250,2.88881,1,14.34,11.77,13.41,16.54,9.13,21.93,7.74,9.83,13.49,43.5,12.57
251,2.88881,1,14.4,11.86,13.25,16.68,9.2,22.03,7.77,9.99,13.43,41.32,12.37
252,2.88881,1,14.4,11.81,13.25,16.68,9.13,21.93,7.71,10.18,13.49,43.78,11.75
253,2.88881,1,14.4,11.81,13.3,16.68,9.17,21.93,7.8,9.75,13.49,43.5,11.89
254,2.88881,1,14.4,11.81,13.3,16.68,9.09,21.24,7.8,9.75,13.43,42.66,12.62
255,2.88881,1,14.34,11.77,13.25,16.61,9.06,21.14,7.77,9.72,13.37,42.38,12.47
256,2.88881,1,14.23,11.72,13.25,16.61,9.06,21.24,7.74,10.06,13.37,42.11,12.57
257,2.88881,1,14.34,11.72,13.41,16.54,9.02,21.14,7.71,9.79,13.37,41.32,12.52
258,2.88881,1,14.4,11.77,13.3,16.61,9.06,21.33,7.8,9.83,13.43,42.94,12.67
259,2.88881,1,14.52,11.77,13.3,16.61,9.02,21.33,7.89,9.6,13.49,42.94,11.99
260,2.88881,1,14.46,11.77,13.3,16.61,8.95,21.14,7.71,9.79,13.43,42.38,12.32
