MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label_1,Label_2,Label_3,Label_4
11.99,8.11,18.51,12.59,7.11,15.71,4.86,19.19,15.49,41.32,11.39,0,0,0,1
13.13,7.52,15.45,11.35,6.64,16.17,6.01,12.55,14.96,43.22,12.27,0,1,0,0
14.87,16.3,9.86,18.61,12.75,24.89,10.89,9.06,13.15,43.78,12.72,1,0,0,0
12.72,7.11,16.93,10.32,6.72,14.71,5.59,14.81,15.29,42.94,12.03,0,1,0,0
13.89,9.75,13.74,14.82,7.62,19.51,6.9,10.06,13.72,43.5,12.27,0,1,0,0
14.81,16.17,9.75,18.52,12.75,25.01,11.11,9.09,13.15,41.05,12.03,1,0,0,0
12.08,7.02,17.51,9.97,6.81,14.89,5.32,16.09,15.84,42.38,11.3,0,0,1,0
11.3,7.22,17.36,11.13,6.67,16.72,4.9,15.63,14.83,44.07,10.65,0,0,0,1
12.52,6.97,17.43,10.08,6.7,14.3,5.5,15.5,15.56,42.38,12.18,0,0,1,0
12.18,7.14,17.51,10.05,6.89,15.33,5.36,15.89,15.77,43.5,11.08,0,0,0,1
11.8,8.01,18.43,12.54,7.03,14.95,4.8,18.85,15.29,41.05,11.34,0,0,0,1
13.56,8.17,14.71,12.59,6.86,17.67,6.46,11.55,14.51,41.32,12.18,0,1,0,0
11.48,7.25,16.72,10.91,6.7,16.86,4.98,14.93,14.76,39.55,11.08,0,0,0,1
12.37,6.91,17.43,9.89,6.64,14.3,5.39,15.76,16.12,43.78,12.08,0,0,1,0
12.18,7.14,16.51,10.28,6.75,16.04,5.17,15.56,15.29,41.32,11.26,0,0,0,1
13.56,7.95,14.89,12.39,6.86,17.22,6.38,11.82,14.63,42.66,11.75,0,1,0,0
12.42,6.94,17.43,10.08,6.64,14.3,5.45,15.56,15.56,42.38,11.71,0,0,1,0
11.99,6.97,16.58,10.05,6.61,15.52,5.06,16.86,15.22,39.79,11.21,0,0,0,1
12.08,6.88,17.51,9.81,6.67,14.47,5.3,15.83,15.77,41.58,12.08,0,0,1,0
11.39,7.55,17.81,11.62,6.97,17.15,5.04,16.16,15.09,40.29,11.12,0,0,0,1
11.85,7.73,18.83,12.54,7.2,15.97,4.92,18.45,15.63,41.84,11.3,0,0,0,1
12.77,7.14,16.79,10.41,6.67,14.65,5.63,14.75,15.29,43.5,12.23,0,1,0,0
