MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
11.66,7.11,16.65,10.7,6.59,16.58,4.88,14.93,14.7,37.9,10.99,4
12.57,7.58,17.36,11.39,7.0,17.37,5.19,15.44,15.15,41.05,10.7,4
11.62,8.07,18.35,12.69,7.14,15.08,4.86,18.94,15.42,41.84,10.95,4
14.81,15.77,10.83,18.52,12.01,23.84,10.06,9.02,15.42,42.38,11.99,1
12.52,6.88,17.51,9.93,6.64,14.07,5.39,15.76,15.63,42.94,11.75,3
13.34,7.52,15.51,11.22,6.64,16.04,5.98,12.75,14.96,41.32,12.32,2
11.26,7.52,18.11,11.76,6.86,16.79,4.78,17.14,15.09,39.06,10.57,4
14.94,14.36,12.38,18.12,11.06,23.07,9.05,9.42,13.26,40.54,12.92,1
11.8,7.55,18.59,12.44,7.06,15.52,4.82,18.29,15.49,40.8,11.12,4
14.94,16.17,9.71,18.61,12.8,25.13,10.89,9.06,13.26,42.94,12.52,1
14.94,15.9,10.66,18.28,12.06,23.84,10.3,9.02,15.7,42.11,12.67,1
11.99,7.7,18.75,12.54,7.14,15.91,4.9,18.61,15.56,41.84,11.43,4
12.72,7.11,16.1,10.57,6.56,15.08,5.7,13.65,15.15,43.78,12.37,2
11.8,7.52,18.59,12.39,7.03,15.58,4.82,20.06,15.49,40.29,11.08,4
11.94,7.52,18.59,12.44,7.06,15.52,4.84,18.77,15.42,40.54,11.43,4
11.44,7.58,17.81,11.53,6.97,17.15,5.09,16.09,15.15,41.32,10.87,4
12.18,7.08,16.65,10.2,6.72,15.97,5.17,17.22,15.35,41.05,10.95,4
11.99,7.7,18.67,12.49,7.14,15.91,4.88,18.69,15.56,41.05,11.12,4
12.72,7.11,17.0,10.28,6.72,14.77,5.59,14.81,15.22,44.37,12.42,2
10.87,7.16,17.73,11.26,6.51,16.31,4.54,16.64,14.83,39.3,10.29,4
11.89,7.61,18.51,12.49,7.06,15.33,4.82,18.77,15.49,41.84,11.08,4
14.4,11.18,13.46,16.4,8.71,20.86,7.59,9.91,13.49,43.22,12.62,1
12.18,7.08,17.43,10.01,6.89,15.08,5.34,16.3,15.84,42.94,11.48,4
14.64,13.14,12.78,17.5,10.15,22.13,8.3,9.53,13.32,42.94,12.67,1
11.89,7.02,17.07,9.89,6.7,15.2,5.15,15.56,15.42,41.58,11.12,4
11.48,7.7,18.35,12.1,7.06,16.79,4.9,19.36,15.22,43.5,11.43,4
11.94,7.05,17.0,9.93,6.72,15.33,5.17,15.31,15.42,42.38,11.52,4
14.69,16.03,9.82,18.44,12.5,24.65,10.76,8.88,12.99,46.19,11.48,1
11.48,7.52,17.96,12.1,6.97,15.78,4.78,17.29,14.89,38.83,11.04,4
12.82,6.94,17.29,10.01,6.7,14.24,5.48,15.69,15.56,42.94,12.03,3
11.62,7.73,18.11,12.34,7.17,16.31,4.94,17.29,15.02,39.55,11.12,4
15.0,15.84,10.5,18.28,12.01,23.84,10.3,8.99,17.5,42.11,11.99,1
11.99,8.04,18.43,12.59,7.09,15.02,4.84,18.94,15.35,41.05,11.26,4
13.34,7.67,15.39,11.67,6.81,16.58,6.15,12.4,14.96,42.66,12.23,2
11.44,7.7,18.11,12.0,7.06,17.15,5.0,16.78,15.15,41.05,10.91,4
15.06,16.03,10.88,18.52,12.15,23.96,10.34,9.13,15.63,42.38,13.03,1
11.44,7.08,16.51,10.53,6.64,16.65,4.98,17.07,14.89,40.04,10.53,4
11.39,7.73,18.19,11.95,7.09,17.08,5.02,16.86,15.15,40.04,10.78,4
12.18,7.05,16.65,10.12,6.7,15.84,5.15,15.76,15.35,41.32,11.12,4
11.53,6.63,16.93,9.43,6.35,14.53,4.96,15.25,15.22,40.8,10.61,4
11.39,7.58,17.96,11.67,7.0,17.15,5.04,16.43,15.09,41.05,10.7,4
15.0,15.01,11.9,18.36,11.46,23.4,9.37,9.06,13.21,42.94,12.23,1
